Time (s),Altitude (m)
0.030251980,-138.8184
0.080670834,-138.8184
0.131090164,-138.8184
0.181509018,-138.7966
0.229406834,-138.7966
0.279825687,-138.7966
0.330245018,-138.7966
0.380663872,-138.7856
0.431082725,-138.7529
0.481502056,-138.7529
0.529399395,-138.7529
0.579818725,-138.7529
0.630237579,-138.7529
0.680656433,-138.7638
0.731075764,-138.7638
0.781494617,-138.7638
0.829392910,-138.7638
0.879812241,-138.7638
0.930231094,-138.7638
0.980649948,-138.7638
1.031068325,-138.7638
1.081487656,-138.7529
1.129385948,-138.7146
1.179804802,-138.7146
1.230223656,-138.7146
1.280642986,-138.7146
1.331061840,-138.6982
1.381480694,-138.6982
1.429378509,-138.6873
1.479797840,-138.6709
1.530216694,-138.6545
1.580635548,-138.6709
1.631054878,-138.6709
1.681473732,-138.6873
1.729371548,-138.6873
1.779790401,-138.6873
1.830209255,-138.6873
1.880628586,-138.6381
1.931047916,-138.6381
1.981466293,-138.649
2.029365063,-138.649
2.079783916,-138.6654
2.130202770,-138.6654
2.180621147,-138.6599
2.231040478,-138.6763
2.281459332,-138.6927
2.329357624,-138.7091
2.379776478,-138.7201
2.430195808,-138.7365
2.480614662,-138.7529
2.531033516,-138.7638
2.581452846,-138.7638
2.629350662,-138.7474
2.679769516,-138.7638
2.730188370,-138.7638
2.780607700,-138.7638
2.831026554,-138.7638
2.881445408,-138.7747
2.929343224,-138.7911
2.979762077,-138.7911
3.030181408,-138.7911
3.080600262,-138.7911
3.131019115,-138.7747
3.181438446,-138.7856
3.229335785,-138.7856
3.279755116,-138.7856
3.330173969,-138.7693
3.380593300,-138.7638
3.431012153,-138.7802
3.481431007,-138.7966
3.529328823,-138.7911
3.579747677,-138.7856
3.630167007,-138.7966
3.680585861,-138.8239
3.731004715,-138.8075
3.781424046,-138.8348
3.829321384,-138.8676
3.879740715,-138.8676
3.930159569,-138.884
3.980578423,-138.8786
4.030997753,-138.884
4.081416607,-138.8622
4.129314899,-138.8676
4.179733276,-138.8458
4.230152607,-138.8567
4.280571461,-138.8458
4.330990314,-138.8294
4.381409645,-138.8403
4.429306984,-138.8676
4.479726314,-138.8294
4.530145168,-138.8512
4.580564022,-138.8403
4.630983353,-138.8512
4.681402206,-138.8622
4.729300022,-138.8348
4.779718876,-138.8403
4.830138206,-138.8184
4.880557060,-138.8294
4.930975914,-138.8239
4.981395245,-138.7966
5.029292583,-138.7638
5.079711914,-138.7911
5.130130768,-138.7856
5.180549622,-138.7802
5.230968952,-138.7747
5.281387329,-138.7693
5.329285621,-138.7638
5.379704475,-138.7747
5.430123806,-138.7966
5.480541706,-138.7966
5.530961037,-138.7583
5.581379890,-138.7747
5.629278183,-138.7365
5.679696560,-138.731
5.730115890,-138.731
5.780534744,-138.6982
5.830953598,-138.6982
5.881372929,-138.7091
5.929270267,-138.7255
5.979689598,-138.7419
6.030108452,-138.7419
6.080527306,-138.731
6.130945683,-138.7474
6.181365013,-138.7638
6.229263306,-138.7474
6.279682159,-138.7747
6.330100536,-138.7583
6.380519867,-138.7529
6.430938721,-138.731
6.481357574,-138.731
6.529255390,-138.7146
6.579674244,-138.7091
6.630093574,-138.6873
6.680512428,-138.7037
6.730930805,-138.6982
6.781349659,-138.7091
6.829247475,-138.7146
6.879666328,-138.6873
6.930085659,-138.7037
6.980504513,-138.7201
7.030923367,-138.7474
7.081341743,-138.731
7.129240513,-138.7693
7.179659367,-138.7583
7.230077744,-138.7747
7.280496597,-138.7693
7.330915928,-138.7529
7.381334782,-138.7747
7.429232597,-138.7638
7.479651451,-138.7911
7.530069828,-138.7802
7.580488682,-138.7529
7.630908012,-138.7474
7.681326866,-138.7419
7.729224682,-138.7201
7.779643536,-138.7146
7.830061912,-138.731
7.880480766,-138.7255
7.930900097,-138.7583
7.981318951,-138.7529
8.029216766,-138.7529
8.079635620,-138.7856
8.130053997,-138.7693
8.180472851,-138.7419
8.230892181,-138.7255
8.281311035,-138.7091
8.329208851,-138.7146
8.379627704,-138.6873
8.430046081,-138.6927
8.480465412,-138.6927
8.530884266,-138.6763
8.581302643,-138.6436
8.629200935,-138.6873
8.679619312,-138.6818
8.730038166,-138.6763
8.780457497,-138.6709
8.830875874,-138.6654
8.881294727,-138.6436
8.929192543,-138.6217
8.979611397,-138.6053
9.030030251,-138.5834
9.080448627,-138.567
9.130867958,-138.5342
9.181286812,-138.5342
9.229184628,-138.496
9.279603481,-138.496
9.330021858,-138.496
9.380440712,-138.496
9.430860042,-138.496
9.481278419,-138.496
9.529175758,-138.496
9.579595089,-138.496
9.630013943,-138.4796
9.680432320,-138.5179
9.730851173,-138.5014
9.781270504,-138.5233
9.829168320,-138.4905
9.879587173,-138.5233
9.930005550,-138.5069
9.980424404,-138.5124
10.030843735,-138.5179
10.081261635,-138.5014
10.129159451,-138.5014
10.179578781,-138.5069
10.229997635,-138.496
10.280416012,-138.496
10.330834865,-138.5069
10.381253242,-138.5233
10.429151535,-138.5014
10.479569912,-138.5179
10.529989242,-138.496
10.580407619,-138.5124
10.630826473,-138.496
10.681245327,-138.5069
10.729143143,-138.4796
10.779561520,-138.4905
10.829980373,-138.4905
10.880399704,-138.4741
10.930818081,-138.4851
10.981236935,-138.4741
11.029134750,-138.4851
11.079553604,-138.4741
11.129971981,-138.4413
11.180390835,-138.4413
11.230809212,-138.4249
11.281228542,-138.4249
11.329125881,-138.414
11.379545212,-138.3976
11.429963589,-138.3812
11.480382442,-138.414
11.530800819,-138.4031
11.581219673,-138.3867
11.629117489,-138.4195
11.679536343,-138.4031
11.729954719,-138.3867
11.780374050,-138.3867
11.830792427,-138.4085
11.881211281,-138.3922
11.929109097,-138.3812
11.979527950,-138.3648
12.029946327,-138.3648
12.080365181,-138.414
12.130783558,-138.3976
12.181202889,-138.3976
12.229100227,-138.3976
12.279519558,-138.4304
12.329937935,-138.4413
12.380356788,-138.4741
12.430775165,-138.4905
12.481194019,-138.5014
12.529091835,-138.4851
12.579510212,-138.4632
12.629929066,-138.4796
12.680348396,-138.4796
12.730766773,-138.5014
12.781185627,-138.5124
12.829083443,-138.5069
12.879501820,-138.5014
12.929920673,-138.5342
12.980339050,-138.5069
13.030757904,-138.4905
13.081176281,-138.5179
13.129074097,-138.5124
13.179492950,-138.5397
13.229911327,-138.5342
13.280330658,-138.5288
13.330749035,-138.5233
13.381167888,-138.567
13.429065704,-138.5616
13.479484558,-138.5944
13.529902935,-138.5834
13.580321789,-138.567
13.630740166,-138.578
13.681158543,-138.5944
13.729056835,-138.5834
13.779475212,-138.5944
13.829894543,-138.6053
13.880312920,-138.6108
13.930731297,-138.6381
13.981150150,-138.6326
14.029047966,-138.6326
14.081987381,-138.6381
14.129885197,-138.6162
14.180303574,-138.6108
14.230722427,-138.6217
14.281140804,-138.6162
14.329038620,-138.5944
14.381978512,-138.6053
14.429875851,-138.5998
14.480295181,-138.6108
14.530713558,-138.6436
14.581131935,-138.6381
14.629029274,-138.6654
14.679448605,-138.6763
14.729866981,-138.6709
14.780285835,-138.7091
14.830704212,-138.7201
14.881123066,-138.7146
14.929020405,-138.7091
14.979439259,-138.7201
