Time (s),Roll (deg),Pitch (deg),Yaw (deg)
0.000000000,-1.341628,1.414987,-89.49792
0.020168304,-1.343049,1.416171,-89.49833
0.040335178,-1.341792,1.415579,-89.49903
0.060503006,-1.343244,1.413851,-89.49814
0.080670834,-1.342711,1.414361,-89.49776
0.100838184,-1.34267,1.413163,-89.49828
0.121006012,-1.342208,1.415089,-89.49776
0.141173363,-1.343602,1.414234,-89.49586
0.161341190,-1.343904,1.413794,-89.49621
0.181509018,-1.344203,1.413472,-89.49643
0.201676369,-1.344917,1.413772,-89.49574
0.219322681,-1.343535,1.413794,-89.49593
0.239490509,-1.343627,1.413076,-89.49522
0.259657860,-1.341405,1.412215,-89.49682
0.279825687,-1.342335,1.412981,-89.49632
0.299993515,-1.340532,1.412227,-89.4961
0.320160866,-1.342471,1.413788,-89.4959
0.340328693,-1.341198,1.413816,-89.49721
0.360496044,-1.342332,1.414173,-89.49776
0.380663872,-1.383825,1.097184,-88.8035
0.400831699,-0.5530703,-0.1726876,-86.00244
0.420999050,-2.17047,-0.7540737,-85.08311
0.441166878,-1.155618,-0.04781848,-84.75486
0.461334705,-1.449038,0.2253343,-84.42977
0.481502056,-1.468801,1.137237,-84.60448
0.501668930,-1.245592,1.260634,-84.90527
0.519316196,-1.43242,1.328272,-85.49773
0.539483547,-1.486794,1.310801,-85.77386
0.559651375,-1.53126,1.295614,-85.81597
0.579818725,-1.638703,1.348738,-85.86047
0.599986553,-1.714275,1.484648,-86.19108
0.620153427,-1.854806,1.520963,-86.65499
0.640321731,-1.816305,1.570512,-87.08766
0.660489559,-1.758616,1.656534,-87.18188
0.680656433,-1.974697,1.691229,-87.51758
0.700824261,-2.216446,1.6285,-87.71553
0.720991611,-2.323756,1.82979,-88.18066
0.741159439,-2.467809,1.945778,-88.27038
0.761327267,-2.614465,2.110294,-88.55058
0.781494617,-2.680885,2.313155,-89.14615
0.801662445,-2.29852,2.713169,-89.56774
0.819309235,-1.372128,3.676237,-90.13569
0.839476109,0.2862005,4.853185,-91.29938
0.859643936,2.220046,4.975262,-92.3225
0.879812241,4.595632,3.690528,-93.34394
0.899979115,8.257235,1.231787,-94.72271
0.920146942,12.92516,-1.964365,-96.01484
0.940314293,18.19711,-5.698497,-97.11327
0.960482121,24.10257,-9.956522,-98.17255
0.980649948,31.1734,-14.32814,-99.38416
1.000817299,39.19762,-18.39205,-100.87
1.020985127,46.96996,-21.46414,-102.6015
1.041152477,53.36593,-23.53858,-103.8688
1.061320305,58.45547,-25.20991,-104.5836
1.081487656,62.95711,-26.89695,-105.2227
1.101655483,67.09747,-28.47329,-105.7719
1.119301796,70.04892,-29.83525,-106.0447
1.139469624,71.89056,-31.93685,-105.735
1.159636974,72.58223,-34.64745,-104.419
1.179804802,72.40527,-37.25043,-102.621
1.199972153,70.67983,-39.65688,-100.5373
1.220139980,66.90625,-42.2999,-98.12173
1.240307808,61.89684,-45.37452,-95.42931
1.260475159,57.06062,-48.13236,-92.19381
1.280642986,52.67119,-49.96035,-87.8557
1.300809860,47.71524,-50.61793,-81.54875
1.320978165,41.72173,-50.24046,-73.25203
1.341145992,36.22518,-48.81738,-64.31442
1.361312866,31.47682,-46.0737,-55.80391
1.381480694,26.48949,-42.2182,-47.54224
1.401648044,21.49795,-37.41935,-39.71351
1.421815872,17.55294,-32.51114,-32.58135
1.439462662,15.93513,-28.61225,-27.73685
1.459630489,15.33314,-24.65166,-23.58271
1.479797840,14.92348,-20.59521,-21.00303
1.499965668,14.54416,-16.21082,-18.7458
1.520132542,13.85605,-12.04029,-15.72458
1.540300369,13.13792,-9.210875,-12.75494
1.560467720,12.83389,-7.694575,-10.50365
1.580635548,12.35907,-6.36436,-9.393755
1.600803375,10.94193,-4.893229,-8.725825
1.620970726,9.389668,-4.329728,-7.467367
1.641138554,8.83744,-4.989872,-5.308
1.661305904,9.948723,-7.331343,-4.000476
1.681473732,12.50142,-10.65293,-4.249516
1.701641560,15.90393,-14.07711,-5.019881
1.719288349,19.42534,-17.137,-5.481136
1.739455223,24.06253,-21.13668,-6.008465
1.759623051,29.85812,-25.7584,-7.133161
1.779790401,37.57109,-30.16633,-9.879999
1.799958229,46.07299,-33.62132,-13.83003
1.820126057,54.37658,-35.61608,-18.14304
1.840293407,62.62691,-37.03819,-22.96922
1.860461235,70.22666,-38.07369,-27.6756
1.880628586,76.93826,-38.56194,-32.28988
1.900796413,83.3138,-38.11869,-37.04471
1.920963287,88.64642,-36.58779,-41.20174
1.941131592,91.61861,-34.32138,-44.19106
1.961299419,93.60529,-31.55045,-47.12032
1.981466293,93.34109,-29.337,-49.20928
2.001634121,91.63116,-27.78397,-51.54582
2.019280910,90.3783,-26.19444,-53.76033
2.039448261,90.45247,-23.7077,-56.93958
2.059616089,91.54887,-20.53265,-60.28965
2.079783916,92.88302,-17.22217,-63.74773
2.099951267,93.92699,-13.96069,-67.14922
2.120119095,94.40559,-10.7726,-70.74323
2.140285969,94.40568,-7.784891,-74.45605
2.160453796,94.12733,-4.918325,-78.09294
2.180621147,93.46105,-2.56512,-81.30447
2.200788975,92.09637,-1.268799,-84.02269
2.220956802,89.07105,-1.337387,-86.08089
2.241124153,84.78986,-2.198856,-88.87408
2.261291981,79.50223,-3.584702,-91.70285
2.281459332,72.42958,-5.602443,-93.78727
2.301627159,64.73828,-7.518709,-95.73872
2.319273472,57.26999,-8.864747,-96.83868
2.339441776,47.79696,-10.04524,-97.54803
2.359608650,37.73796,-10.89797,-97.44114
2.379776478,27.05119,-11.37019,-96.80729
2.399943828,16.0055,-11.63357,-95.4809
2.420111656,5.36404,-11.8386,-93.54929
2.440279484,-3.741884,-12.05816,-91.62344
2.460446834,-10.85984,-12.08363,-89.6179
2.480614662,-16.3942,-12.01302,-87.43774
2.500782013,-20.54322,-11.80095,-85.3245
2.520949840,-24.13549,-11.35822,-83.17889
2.541117191,-27.66363,-10.54577,-80.99746
2.561285019,-31.07757,-9.287679,-78.67104
2.581452846,-34.84411,-7.638852,-76.01135
2.601619720,-38.66742,-5.386789,-73.15225
2.619266510,-41.85568,-3.034516,-71.06496
2.639434338,-45.41955,-0.6420683,-69.12285
2.659601688,-48.48399,1.220688,-67.30048
2.679769516,-50.57738,2.907715,-65.28098
2.699937344,-51.83337,4.655669,-62.85123
2.720104694,-52.41711,6.248415,-60.51509
2.740272522,-53.09258,7.21821,-58.24866
2.760439396,-53.37041,8.237876,-55.7267
2.780607700,-52.93432,9.58546,-52.81277
2.800774574,-51.96655,10.78044,-49.54382
2.820942402,-50.02177,11.48787,-45.96679
2.841110229,-48.81255,11.92707,-42.35238
2.861277580,-47.65056,12.3629,-38.61293
2.881445408,-46.92759,12.60285,-34.75138
2.901612759,-46.07428,12.73654,-30.77767
2.921780586,-44.84594,12.6328,-26.65423
2.939427376,-43.27649,12.36078,-22.71799
2.959595203,-40.58893,11.83915,-18.30462
2.979762077,-37.39968,11.04045,-14.08327
2.999929905,-34.79963,9.82108,-10.06274
3.020097256,-32.59914,8.153515,-6.14318
3.040265083,-30.30097,4.862784,-2.629663
3.060432434,-27.96469,2.789749,0.4129577
3.080600262,-25.56512,2.257026,3.443133
3.100768089,-22.4595,1.129609,5.948033
3.120935440,-18.83546,-1.010304,7.556582
3.141103268,-15.0022,-3.209904,8.752369
3.161270618,-11.23658,-5.579814,9.775533
3.181438446,-7.615332,-10.09482,9.956131
3.201605320,-3.541956,-15.4396,9.293535
3.219252110,0.9006987,-20.38487,8.042156
3.239419937,7.233668,-26.1615,5.386588
3.259587765,14.54175,-31.50145,1.910999
3.279755116,22.49181,-35.87667,-2.68352
3.299922943,30.54957,-39.04416,-7.960834
3.320090294,38.04651,-40.953,-13.79317
3.340258121,46.37299,-41.27316,-20.77341
3.360425949,53.3532,-40.15279,-26.69598
3.380593300,58.85385,-37.73587,-32.52876
3.400761127,63.46519,-34.66673,-37.95166
3.420928001,67.51222,-31.03316,-42.89103
3.441095829,70.23715,-27.30017,-46.88957
3.461263180,71.56437,-23.75523,-50.39455
3.481431007,72.01318,-20.19567,-53.61516
3.501598358,71.58854,-16.60768,-56.42088
3.521766186,68.99049,-13.03927,-59.80856
3.539412975,66.64259,-9.641904,-63.82921
3.559580803,64.82846,-6.13569,-67.91309
3.579747677,63.31955,-3.042982,-71.999
3.599915504,62.16598,-0.2994164,-76.54034
3.620082855,61.09126,1.962451,-81.3791
3.640250683,60.02072,3.61974,-86.36959
3.660418510,58.83433,4.698799,-91.4288
3.680585861,57.24465,5.003998,-96.47756
3.700753689,55.02117,4.489217,-101.9282
3.720921040,52.62081,3.548932,-107.6691
3.741088867,50.37558,2.375243,-113.5454
3.761256218,48.06896,0.9621235,-119.1129
3.781424046,45.35233,-0.7302336,-124.1591
3.801591873,42.06766,-2.757917,-128.7884
3.819238186,38.34916,-5.057556,-132.2534
3.839405537,32.72273,-8.630308,-135.5167
3.859573364,26.1308,-13.02932,-137.9244
3.879740715,18.8241,-17.79684,-138.9619
3.899908543,10.73715,-22.77076,-138.3268
3.920076370,2.172786,-27.70279,-136.4589
3.940243721,-6.002306,-32.47582,-133.8789
3.960411549,-14.28965,-36.77552,-130.1271
3.980578423,-23.28555,-40.55023,-124.4501
4.000746727,-33.57822,-43.21688,-116.7386
4.020913601,-44.65993,-44.02326,-107.1532
4.041081429,-54.9374,-42.62823,-97.52325
4.061249256,-63.9613,-39.6563,-88.71008
4.081416607,-71.3755,-35.4895,-81.01845
4.101584435,-76.82535,-30.56509,-74.56181
4.121751785,-80.35469,-25.45811,-68.92795
4.139398098,-81.9465,-21.20663,-64.4812
4.159566402,-82.31127,-16.70153,-59.91305
4.179733276,-82.05346,-12.28774,-55.28766
4.199901104,-81.13517,-8.581861,-50.89169
4.220068932,-79.50264,-5.983007,-46.52283
4.240236282,-77.37623,-3.959356,-41.59617
4.260404110,-74.68249,-1.869643,-35.9439
4.280571461,-71.59219,0.440759,-29.31921
4.300739288,-68.08343,2.576342,-22.17471
4.320906639,-64.16863,4.175938,-15.40054
4.341074467,-60.01197,5.343415,-9.061938
4.361241817,-56.48759,5.926349,-3.899775
4.381409645,-54.36334,5.740648,-0.1208019
4.401577473,-53.26678,5.109955,2.984951
4.421744346,-52.53624,4.075092,6.146379
4.439391136,-51.63097,2.944863,9.0621
4.459558964,-50.11952,1.268313,12.39809
4.479726314,-48.27298,-1.456151,15.65408
4.499894142,-46.40842,-3.665265,17.72948
4.520061493,-45.02983,-7.039408,20.207
4.540229320,-43.48523,-11.56195,22.02957
4.560397148,-41.6024,-16.33971,22.89296
4.580564022,-39.71544,-20.89613,23.52705
4.600732326,-37.91962,-25.1912,23.83545
4.620899200,-36.01947,-29.77831,23.53041
4.641067028,-33.59462,-35.41999,21.95248
4.661234379,-29.82317,-41.87929,18.50079
4.681402206,-23.59329,-48.84468,12.35419
4.701569557,-14.73751,-55.10756,3.387234
4.721737385,-3.313622,-59.69193,-8.403502
4.739383697,8.923486,-61.87676,-21.47344
4.759552002,23.90151,-62.0783,-37.58554
4.779718876,37.92992,-59.74424,-53.21454
4.799886703,48.43155,-55.91224,-65.4925
4.820054054,56.28676,-51.80373,-75.36134
4.840221882,62.13618,-47.54798,-83.14598
4.860389233,66.40453,-43.18729,-89.00797
4.880557060,69.65109,-38.91623,-93.67145
4.900724888,72.03377,-34.71902,-97.58096
4.920892239,73.81847,-30.80929,-101.1626
4.941060066,75.03978,-26.30085,-104.9905
4.961227417,75.48577,-21.80485,-108.2542
4.981395245,75.1667,-17.16382,-111.8683
5.001562119,74.32224,-12.36926,-116.1221
5.021729946,73.37031,-7.60082,-121.0409
5.039376736,72.2048,-3.557364,-125.7539
5.059544563,70.62679,0.4249578,-131.2837
5.079711914,68.88863,3.78092,-137.0204
5.099879742,67.12431,6.429906,-142.6014
5.120047092,65.23004,7.808881,-147.8027
5.140214920,63.22593,8.01156,-152.8266
5.160381794,61.50387,7.674637,-157.7942
5.180549622,60.11531,6.984813,-162.8743
5.200716972,58.63113,5.530351,-167.7166
5.220884800,56.96077,3.346739,-172.3649
5.241052151,55.01566,1.219103,-176.6631
5.261219978,52.80135,-0.8599793,179.5268
5.281387329,50.03056,-3.647115,176.2811
5.301555157,46.37939,-7.943241,174.0331
5.321722984,42.37823,-13.62254,172.5461
5.339369297,39.11718,-19.11618,171.8643
5.359536648,35.75327,-25.5004,171.6812
5.379704475,32.66622,-31.79348,171.9222
5.399871826,29.47716,-38.10888,172.8151
5.420039654,25.82147,-44.77436,174.6984
5.440207004,20.79616,-51.82547,178.8223
5.460374832,13.04928,-58.73223,-173.4419
5.480541706,0.3362285,-64.53748,-160.349
5.500710010,-19.77072,-68.0016,-139.9863
5.520877838,-43.0915,-68.00532,-116.2886
5.541044712,-61.29741,-64.98553,-97.06072
5.561212540,-72.67308,-60.05738,-83.91847
5.581379890,-78.8893,-53.66088,-75.43253
5.601547718,-82.61886,-45.87528,-69.36165
5.621715069,-85.56052,-36.61734,-64.2625
5.639361381,-87.84892,-27.96989,-60.33142
5.659529686,-89.61004,-18.8732,-56.88834
5.679696560,-90.33438,-11.87255,-54.85452
5.699864387,-90.38594,-7.087536,-53.31886
5.720031738,-90.23719,-3.481782,-51.74591
5.740199566,-89.77982,-0.04036472,-49.75643
5.760367393,-88.68412,3.165374,-47.36578
5.780534744,-86.57648,5.772263,-44.56746
5.800702572,-83.54555,8.015611,-41.50002
5.820869923,-79.65659,10.43561,-37.96923
5.841037750,-74.71876,12.77097,-33.52348
5.861205101,-69.76687,14.76237,-29.17965
5.881372929,-65.20625,16.10026,-25.09803
5.901539803,-61.09191,16.61135,-21.49638
5.921707630,-57.59764,16.90752,-17.79234
5.939354420,-54.86705,17.05022,-14.36501
5.959522247,-52.00901,16.67988,-10.43258
5.979689598,-49.45953,15.7329,-6.675255
5.999857426,-47.46974,14.61371,-3.329794
6.020024776,-46.10211,13.65576,-0.247091
6.040192604,-45.1764,12.76026,2.557632
6.060359478,-44.5047,11.54768,5.147426
6.080527306,-44.07515,9.827355,7.574801
6.100694656,-43.9995,7.915026,9.872843
6.120862484,-44.17521,6.157269,12.28561
6.141029835,-44.38062,4.600726,14.579
6.161197662,-44.42237,2.717943,16.70356
6.181365013,-44.37092,-0.08735303,18.49693
6.201532841,-44.19238,-4.448394,19.61138
6.221700192,-44.13994,-9.325235,19.90905
6.239346504,-44.13046,-14.54004,20.12653
6.259514332,-43.98455,-21.53101,19.95824
6.279682159,-43.77063,-28.18589,19.18059
6.299849510,-43.40131,-34.39065,18.1715
6.320017338,-42.34705,-40.49271,16.38655
6.340184688,-41.23888,-46.77625,14.65581
6.360352516,-38.9326,-53.75484,11.79712
6.380519867,-35.51676,-60.69256,8.06262
6.400687694,-30.40255,-66.95547,2.537614
6.420854568,-21.83396,-72.59193,-6.28833
6.441022396,-6.873144,-77.0955,-21.46318
6.461189747,17.15375,-79.85215,-45.47297
6.481357574,47.92428,-80.64331,-76.11697
6.501524925,74.9305,-79.68738,-103.0865
6.521692753,92.97423,-77.50117,-121.4535
6.539339542,103.0476,-74.88105,-132.0895
6.559506416,109.9431,-71.43969,-139.9139
6.579674244,113.9171,-67.71689,-145.1302
6.599841595,116.3519,-63.97523,-149.0246
6.620009422,117.8204,-60.37224,-152.4004
6.640177250,118.4778,-57.01235,-155.4504
6.660344601,118.8533,-53.7953,-158.5587
6.680512428,118.6619,-50.51123,-161.4154
6.700679779,118.2194,-47.26085,-164.3458
6.720847607,117.8059,-44.15286,-167.5778
6.741014957,117.4851,-41.00495,-170.8862
6.761182785,116.9968,-37.52398,-173.8057
6.781349659,116.2612,-33.83592,-176.117
6.801517487,115.7079,-30.24996,-178.4519
6.821684837,115.0371,-26.76686,179.4015
6.839331627,114.1946,-23.79811,177.6451
6.859499454,112.9492,-20.56186,175.7962
6.879666328,111.3523,-17.52129,174.1309
6.899834633,109.7233,-14.4808,172.1652
6.920001507,107.4597,-11.8078,169.8458
6.940169334,104.5278,-9.969102,167.2733
6.960336685,101.0106,-8.603621,164.4021
6.980504513,96.6197,-7.387693,161.6779
7.000671864,91.46134,-6.110203,159.4137
7.020839691,86.17368,-4.702328,157.4581
7.041007042,81.39152,-3.539022,155.2506
7.061174870,77.13446,-2.607991,152.9353
7.081341743,73.29448,-2.176637,150.6882
7.101510048,69.96313,-2.181348,148.5364
7.121676922,67.05366,-2.787655,146.4832
7.139323711,64.66861,-4.022724,144.8591
7.159491539,62.0114,-6.449028,143.0838
7.179659367,59.55155,-9.754753,141.4595
7.199826717,57.4251,-13.72746,140.2059
7.219994545,55.77089,-18.39624,139.2749
7.240161419,54.53064,-23.79672,138.6444
7.260329723,53.5685,-29.96687,138.0221
7.280496597,52.88554,-36.89885,137.611
7.300664425,52.5411,-44.53645,137.3579
7.320831776,52.59474,-52.58113,137.1485
7.340999603,53.00666,-60.87461,136.9075
7.361166954,53.66192,-69.4429,136.6391
7.381334782,53.85476,-78.03785,137.6306
7.401502132,34.96237,-84.88128,160.2607
7.421669960,-112.8712,-80.89605,-59.25768
7.439316273,-115.0658,-73.10317,-55.52391
7.459483623,-114.8498,-64.21867,-54.88349
7.479651451,-113.9687,-55.84282,-55.03739
7.499818802,-112.0546,-47.24444,-56.42553
7.519986629,-109.8316,-39.29163,-57.51281
7.540153503,-107.1954,-32.13624,-58.55906
